Year,Background,Index,Period_1_commu,Period_2_commu,Period_3_commu,Period_1_commu_internal,Period_2_commu_internal,Period_3_commu_internal
2012.0,computer science,11397,,16.0,1.0,,,3.0
2011.0,multidisciplinary sciences,11538,,4.0,1.0,,1.0,2.0
2013.0,computer science,11011,,4.0,1.0,,,2.0
2010.0,computer science,11676,,4.0,1.0,,,
2012.0,psychology,11283,,8.0,49.0,,,
2011.0,computer science,11507,,6.0,76.0,,1.0,1.0
2009.0,education & educational research,11882,3.0,2.0,16.0,,1.0,4.0
2008.0,communication,11888,7.0,2.0,5.0,,1.0,1.0
2012.0,"public, environmental & occupational health",11401,,4.0,1.0,,1.0,2.0
2014.0,computer science,9898,,13.0,9.0,,,4.0
2013.0,multidisciplinary sciences,10813,,13.0,9.0,,1.0,4.0
2014.0,computer science,10200,,13.0,9.0,,,4.0
2010.0,computer science,11800,,14.0,72.0,,,4.0
2009.0,computer science,11819,,14.0,26.0,,13.0,4.0
2009.0,computer science,11857,,14.0,26.0,,4.0,4.0
2011.0,computer science,11455,,14.0,26.0,,,4.0
2011.0,computer science,11457,,3.0,2.0,,1.0,1.0
2008.0,economics,11919,1.0,8.0,49.0,,,2.0
2010.0,communication,11678,,31.0,19.0,,,1.0
2007.0,communication,11929,2.0,5.0,5.0,3.0,1.0,1.0
2011.0,computer science,11578,,27.0,45.0,,,
2005.0,engineering,11950,4.0,12.0,40.0,,,2.0
2012.0,communication,11291,,3.0,2.0,,1.0,1.0
2011.0,computer science,11531,,9.0,10.0,,1.0,1.0
2012.0,communication,11349,,3.0,2.0,,1.0,1.0
2011.0,multidisciplinary sciences,11499,,15.0,10.0,,1.0,1.0
2012.0,communication,11416,,3.0,15.0,,1.0,1.0
2012.0,business,11263,,7.0,3.0,,,1.0
2011.0,computer science,11558,,17.0,3.0,,,4.0
2012.0,business,11264,,7.0,3.0,,2.0,1.0
2009.0,business,11877,,17.0,3.0,,,1.0
2009.0,computer science,11818,8.0,19.0,26.0,,13.0,4.0
2008.0,computer science,11908,,39.0,102.0,,,
2011.0,psychology,11490,,2.0,5.0,,1.0,1.0
2008.0,communication,11914,2.0,2.0,5.0,2.0,1.0,1.0
2011.0,communication,11591,,11.0,5.0,,1.0,1.0
2009.0,communication,11829,,5.0,20.0,,,1.0
2013.0,communication,10963,,3.0,2.0,,1.0,1.0
2010.0,communication,11799,,,2.0,,,1.0
2012.0,communication,11190,,3.0,2.0,,1.0,1.0
2016.0,communication,7898,,3.0,2.0,,,1.0
2012.0,cardiac & cardiovascular systems,11254,,1.0,8.0,,2.0,2.0
2010.0,urology & nephrology,11762,,1.0,8.0,,2.0,2.0
2011.0,urology & nephrology,11582,,1.0,8.0,,2.0,2.0
2012.0,communication,11292,,3.0,2.0,,,1.0
2011.0,computer science,11585,,9.0,10.0,,1.0,1.0
2012.0,computer science,11085,,10.0,7.0,,,1.0
2011.0,plant sciences,11427,,1.0,8.0,,,2.0
2010.0,substance abuse,11741,,1.0,8.0,,2.0,2.0
2009.0,communication,11854,3.0,2.0,5.0,,1.0,1.0
2009.0,communication,11879,,5.0,5.0,,1.0,1.0
2014.0,multidisciplinary sciences,10127,,20.0,10.0,,,1.0
2013.0,environmental studies,10727,,,3.0,,,1.0
2011.0,environmental studies,11512,,17.0,3.0,,,1.0
2010.0,hospitality,11653,,17.0,3.0,,,1.0
2013.0,social sciences,10937,,3.0,2.0,,1.0,1.0
2009.0,communication,11883,7.0,5.0,20.0,,,1.0
2013.0,computer science,10601,,7.0,7.0,,,1.0
2012.0,business,11269,,7.0,3.0,,,1.0
2013.0,communication,10887,,5.0,2.0,,,1.0
2010.0,criminology & penology,11685,,,25.0,,,
2011.0,health care sciences & services,11630,,12.0,40.0,,,2.0
2009.0,health care sciences & services,11858,5.0,4.0,1.0,,1.0,2.0
2011.0,pediatrics,11560,,2.0,5.0,,2.0,2.0
2012.0,psychology,11068,,20.0,37.0,,,1.0
2011.0,communication,11506,,3.0,18.0,,1.0,1.0
2013.0,psychology,10795,,2.0,5.0,,,1.0
2010.0,communication,11701,,8.0,11.0,,,1.0
2010.0,business,11721,,8.0,3.0,,,1.0
2012.0,education,11094,,53.0,8.0,,,
2010.0,behavioral sciences,11719,,53.0,8.0,,,
2013.0,computer science,10764,,,131.0,,,
2012.0,computer science,11170,,18.0,41.0,,,
2012.0,dermatology,11148,,1.0,8.0,,2.0,2.0
2008.0,"public, environmental & occupational health",11894,5.0,1.0,8.0,,2.0,2.0
2012.0,psychology,11113,,2.0,5.0,,,1.0
2012.0,computer science,11388,,49.0,16.0,,,
2013.0,education & educational research,10925,,10.0,16.0,,3.0,4.0
2012.0,communication,11342,,,46.0,,,
