Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
222893,599,,,computer science
1975479660,599,,,computer science
1983754593,599,,,computer science
2113700437,599,,,computer science
2149201324,599,,,biology
2205106504,599,,,computer science
1295027,2253,,,psychology
2794664026,2253,,,sociology
2795320742,2253,,,sociology
1594091,5,,51,political science
2046817745,5,,51,political science
2126988120,5,,51,psychology
2139330692,5,,51,medicine
2147218233,5,,51,biology
2779405296,5,,51,computer science
2251028011,5,,,psychology
2054371020,3,,7,political science
2528487114,3,,,psychology
2098926569,5,,,medicine
2724288961,5,,,psychology
2900996687,5,,,psychology
2111301695,3,,442,business
2139015025,3,,442,computer science
2144151823,3,,442,computer science
314478512,5,,,computer science
720924201,5,36,571,medicine
2009240409,5,,31,computer science
2064099128,5,,51,mathematics
2138148202,5,,,computer science
2149978087,5,,,economics
2140756800,5,,,physics
2160509142,5,,,computer science
2155105187,5,,,psychology
2214363008,5,,,political science
2707826896,5,,31,mathematics
2268162185,5,,,political science
2305273670,5,,51,computer science
301883243,5,,,mathematics
2511229840,5,36,571,sociology
2531824009,5,36,571,psychology
2777005362,5,,31,mathematics
2083043495,5,,31,materials science
2083100286,5,,31,medicine
2218520530,5,,231,business
2027950920,5,,231,engineering
2294323226,5,,231,computer science
2796200788,5,,,computer science
2008067,743,,,computer science
150457823,743,,,computer science
310145802,743,,,computer science
1347852023,743,,,computer science
2221112761,743,,,computer science
2249127,456,,,business
1981562660,456,,,computer science
2136359622,456,,,psychology
2136829203,456,,,economics
2138070684,456,,,business
2154123003,456,,,computer science
2893888,526,,,computer science
2277759540,526,,,economics
2305277957,526,,,computer science
2012545385,526,,198,computer science
2173471061,526,,198,political science
2200542890,526,,198,computer science
2556401394,526,,198,sociology
2600556690,526,,198,political science
3043217,226,,,computer science
320919012,226,,,computer science
2046052911,226,,,computer science
2098712279,226,,,political science
2104868289,226,,,computer science
2193261876,226,,,computer science
2226508274,226,,,mathematics
2336842022,226,,,psychology
2947991477,226,,,computer science
3231762,4259,,,art
2566392200,4259,,,art
3739129,4,,,computer science
1995653902,4,,,computer science
