Index,Background,Year,Year_range,Period_1_commu,Period_2_commu,Period_3_commu
1645,linguistics,2019.0,3.0,,,89.0
6292,computer science,2017.0,3.0,,,74.0
426,public administration,2019.0,3.0,,,10.0
357,hospitality,2019.0,3.0,,,1.0
1305,business,2019.0,3.0,,,1.0
2142,business,2019.0,3.0,,,1.0
2460,communication,2019.0,3.0,,,7.0
4417,automation & control systems,2018.0,3.0,,,20.0
4095,geography,2018.0,3.0,,,5.0
5579,computer science,2017.0,3.0,,,5.0
5616,computer science,2017.0,3.0,,,37.0
10348,computer science,2014.0,2.0,,1.0,37.0
1724,computer science,2019.0,3.0,,,11.0
995,mathematical & computational biology,2019.0,3.0,,,11.0
2363,computer science,2019.0,3.0,,,11.0
3060,computer science,2018.0,3.0,,,11.0
4678,education & educational research,2018.0,3.0,,,64.0
2662,humanities,2019.0,3.0,,,64.0
5699,political science,2017.0,3.0,,,32.0
8011,medicine,2016.0,3.0,,,24.0
11560,pediatrics,2011.0,2.0,,,
6242,health care sciences & services,2017.0,3.0,,,72.0
4696,education,2018.0,3.0,,,72.0
7064,emergency medicine,2016.0,3.0,,,72.0
3680,psychology,2018.0,3.0,,,26.0
519,geography,2020.0,4.0,,,5.0
8045,political science,2016.0,3.0,,,22.0
4631,hospitality,2018.0,3.0,,,55.0
4202,communication,2018.0,3.0,,,113.0
334,communication,,,,,113.0
4851,communication,2018.0,3.0,,,113.0
363,geography,2019.0,3.0,,,11.0
0,computer science,2019.0,3.0,,,11.0
867,computer science,2019.0,3.0,,,11.0
1216,computer science,2019.0,3.0,,,36.0
1343,biochemical research methods,2019.0,3.0,,,11.0
1733,computer science,2019.0,3.0,,,2.0
1918,computer science,2019.0,3.0,,,11.0
2263,geosciences,2019.0,3.0,,,10.0
2551,computer science,2019.0,3.0,,,2.0
3043,health care sciences & services,2018.0,3.0,,,23.0
4349,computer science,2018.0,3.0,,,11.0
1926,computer science,2019.0,3.0,,,3.0
3253,engineering,2018.0,3.0,,,1.0
126,computer science,2019.0,3.0,,,11.0
318,multidisciplinary sciences,2019.0,3.0,,,11.0
2518,computer science,2019.0,3.0,,,11.0
259,computer science,2019.0,3.0,,,20.0
101,"public, environmental & occupational health",2019.0,3.0,,,61.0
1118,computer science,2019.0,3.0,,,
2779,computer science,2019.0,3.0,,,330.0
2845,medicine,2018.0,3.0,,,61.0
3367,computer science,2018.0,3.0,,,11.0
4491,computer science,2018.0,3.0,,,
5153,transportation,2018.0,3.0,,,54.0
5838,computer science,2017.0,3.0,,,20.0
6041,computer science,2017.0,3.0,,,330.0
7694,computer science,2016.0,3.0,,,69.0
8628,computer science,2015.0,3.0,,,2.0
8765,computer science,2015.0,3.0,,,6.0
10920,computer science,2013.0,2.0,,1.0,10.0
10995,medicine,2013.0,2.0,,2.0,92.0
11465,engineering,2011.0,2.0,,,88.0
1196,computer science,2020.0,4.0,,,103.0
6030,computer science,2017.0,3.0,,,20.0
6434,computer science,2017.0,3.0,,,107.0
